Country,2021_GDP,2020_GDP,2019_GDP,2018_GDP,2017_GDP,2016_GDP,2015_GDP,2014_GDP,2013_GDP,2021_atw,2020_atw,2019_atw,2018_atw,2017_atw,2016_atw,2015_atw,2014_atw,2013_atw,2021_ami,2020_ami,2019_ami,2018_ami,2017_ami,2016_ami,2015_ami,2014_ami,2013_ami,2020_ia,2019_ia,2018_ia,2017_ia,2016_ia,2015_ia,2014_ia,2013_ia
Albania,"6,494.40","5,332.20","5,396.20","5,287.70","4,531.00","4,124.10","3,952.80","4,578.60","4,413.10",487.28,398.64,369.95,366.49,330.31,290.66,303.18,428,414.4,20.52,20.2,21.54,22.56,18.77,17.11,15.98,21.79,21.75,72.24,68.55,65.4,62.4,59.6,56.9,54.3,51.8
Algeria,"3,765.00","3,306.90","3,989.70","4,142.00","4,109.70","3,946.50","4,177.90","5,493.10","5,499.60",260.71,274.11,283.83,267.48,318.82,303.4,341.54,435.69,370.55,40.05,47.51,23.47,26.09,39.27,39.6,38.23,35.51,36.41,62.9,57.9,49.04,47.69,42.95,38.2,29.5,22.5
Argentina,"10,729.20","8,585.70","10,076.40","11,795.20","14,613.00","12,790.20","13,789.10","12,334.80","13,080.30",390.07,524.48,604.28,762.75,930.02,899.58,1039.06,1132.7,980.44,23.88,29.12,32.3,46.08,48.05,37.14,42.57,32.47,35.19,85.5,79.9,77.7,74.3,71,68,64.7,59.9
Australia,"59,934.10","51,680.30","54,875.30","57,180.80","53,934.30","49,881.80","56,707.00","62,511.70","68,156.60",4171.74,3495.24,3221.55,3422.99,3232.62,3218.02,3272.23,4002.54,4194.33,58.17,50.21,50.94,55.1,54.91,51.51,53.35,66.85,64.26,89.6,88.6,87.6,86.55,86.54,84.56,84,83.45
Austria,"53,267.90","48,588.70","50,114.40","51,486.60","47,429.20","45,307.60","44,195.80","51,786.40","50,731.10",2467.97,2429.99,2178.91,2308.15,2099.12,2081.52,1941.6,2544.1,2636.76,43.05,36.28,35.06,35.35,27.07,23.98,22.55,27,26.08,87.53,87.75,87.48,87.94,84.32,83.94,81,80.62
Azerbaijan,"5,384.00","4,229.90","4,805.80","4,739.80","4,147.10","3,880.70","5,500.30","7,891.30","7,875.80",341.12,296.9,335,283.14,243.86,292.95,414.21,713.92,529.33,15.52,19.62,17.7,14.11,13.54,14.17,19.37,33.15,34.17,84.6,81.1,79.8,79,78.2,77,75,73
Bahrain,"22,232.30","20,406.50","23,552.40","24,086.30","23,742.90","22,608.50","22,634.10","24,989.40","24,744.30",1361.76,1573.21,1172.65,1536.74,1288.71,1792.04,1531.26,1308.11,1084.46,48.15,58.43,57.64,41.48,47,33.01,39.26,42.74,54.39,99.67,99.7,98.64,95.88,98,93.48,90.5,90
Bangladesh,"2,503.00","2,270.30","2,154.20","1,991.50","1,839.60","1,679.00","1,248.50","1,118.90",981.9,320.83,287.09,356.6,341.85,335.67,345.24,327.56,358.94,360.82,36.1,30.14,29.06,28.14,22.45,38.23,46.36,46.33,38.69,24.8,23.8,21.8,19.8,18.1,12.9,11.9,6.63
Belarus,"7,303.70","6,555.40","6,837.70","6,360.10","5,785.70","5,039.70","5,967.10","8,341.40","7,998.10",424.91,426.77,467.77,442.97,389.09,344.91,354.58,520.59,529.74,12.74,11.89,14.39,13.86,12.02,9.5,11.18,19.61,20.16,85.09,82.79,79.13,74.44,71.11,62.23,59.02,54.17
Belgium,"51,767.80","45,189.40","46,599.10","47,549.20","44,198.50","42,012.60","41,008.30","47,764.10","46,758.00",2827.45,2456.11,2376.52,2241.24,2177.69,2126.92,2042.3,2412.68,2438.14,57.96,50.71,50.53,53.29,46.28,45.03,42.68,46.72,45.5,91.53,90.28,88.65,87.68,86.52,85.05,85,82.17
Bosnia And Herzegovina,"6,916.40","6,082.40","6,119.80","6,070.40","5,394.30","4,995.00","4,729.70","5,330.40","5,129.70",663.03,660.52,499.54,503.15,463.89,486.52,442.88,555.56,518.95,26.62,23.89,25.24,24.95,19.83,15,14.85,17.35,17.59,73.21,69.95,70.12,64.89,60.26,52.6,49.92,48.52
Brazil,"7,518.80","6,814.90","8,876.10","9,151.40","9,928.70","8,710.10","8,814.00","12,112.80","12,300.40",372.84,367.79,481.65,469.16,572.36,545.56,552.09,796.18,830.93,20.74,20.95,30.36,33.22,33.29,24.27,24.42,33.42,36.51,81.34,73.91,70.43,67.47,60.87,58.33,54.55,51.04
Bulgaria,"11,635.00","10,079.20","9,879.30","9,446.70","8,366.30","7,569.50","7,074.70","7,901.80","7,681.90",774.62,705.98,726.52,655.54,569.53,538.88,497.31,542.04,487.2,13.26,12.11,12.16,11.87,9.76,8.91,8.34,10.53,11.25,70.16,67.95,64.78,63.41,59.83,56.66,55.49,53.06
Canada,"52,051.40","43,258.30","46,328.70","46,548.60","45,129.40","42,315.60","43,596.10","50,956.00","52,635.20",3212.58,2434.22,2656.4,2388.25,2497.3,2288,2447.09,2798.69,2921.9,66.29,55.35,54.59,56.09,50.67,46.68,45.45,47.09,48.02,96.97,96.5,94.64,92.7,91.16,90,87.12,85.8
Chile,"16,502.80","13,220.60","14,699.50","15,772.30","14,962.60","13,690.90","13,495.00","14,607.00","15,777.80",683.33,619.8,714.82,863.16,730.06,779.47,897.03,967.78,944.39,33.24,31.4,36.81,42.09,39.74,34.62,37.12,48.9,38.89,88.3,86.1,84.9,82.33,83.56,76.63,61.11,58
China,"12,556.30","10,408.70","10,143.80","9,905.30","8,817.00","8,094.40","8,016.40","7,636.10","7,020.30",1206.46,1099.65,1027.31,1002.47,998.97,1046.45,1179.06,839.02,749.62,15.27,12.9,14.8,16.05,14.35,16.1,19.94,16.69,19.61,70.4,64.11,59.2,54.3,53.2,50.3,47.9,45.8
Colombia,"6,131.20","5,312.20","6,418.60","6,729.60","6,376.70","5,870.80","6,175.90","8,114.30","8,218.30",380.62,305.35,350.87,353.66,362.95,355.15,384.6,541.3,478.75,26.59,28.46,32.77,35.23,31.35,25.79,31.21,34.81,33.13,69.79,65.01,64.13,62.26,58.14,55.9,52.57,51.7
Costa Rica,"12,508.60","12,201.90","12,762.10","12,485.40","12,225.60","12,011.20","11,642.80","10,847.20","10,744.10",851.41,832.71,826.6,776.83,763.15,810.01,921.5,803.9,831.91,53.14,54.13,63.02,73.04,52.85,47.88,46.44,58.61,60.94,80.53,81.2,73.48,71.58,65.88,59.76,53,45.96
Croatia,"17,398.80","14,132.50","15,311.80","15,227.60","13,629.30","12,527.70","11,933.40","13,762.40","13,837.70",1123.85,908.52,965.99,925.68,840.34,802.47,720.74,887.44,848.47,28.24,27.51,25.01,26.15,24.84,24.07,23.34,27.45,25.33,78.32,79.08,75.29,67.1,72.7,69.85,68.57,66.75
Cyprus,"30,798.50","27,681.60","29,206.10","29,334.10","26,608.90","24,605.90","23,408.30","27,163.30","27,729.20",1514.82,1374.83,1287.83,1270.8,1328.41,1501.48,1149.56,1669.09,1490.68,40.36,43.36,43.91,47.62,41.92,34.11,38.44,46.42,41.13,90.8,86.06,84.43,80.74,75.9,71.72,69.33,65.45
Czech Republic,"26,378.50","22,933.50","23,660.10","23,419.70","20,636.20","18,575.20","17,829.70","19,890.90","20,133.20",1515.57,1211.75,1203.06,1147.96,1034.66,947.74,903.74,1109.11,1088.95,21.71,20,20.96,21.42,18.76,16.18,15.72,19.56,19.88,81.34,80.87,80.69,78.72,76.48,75.67,74.23,74.11
Denmark,"67,803.00","61,063.30","59,775.70","61,591.90","57,610.10","54,664.00","53,254.90","62,549.00","61,191.20",3842.44,3708.52,3226.71,3241.18,3077.64,2803.11,2990.34,3529.96,3340.93,39.74,38.54,37.3,36.97,35.43,28.45,28.03,34.76,29.99,96.55,98.05,97.32,97.1,96.97,96.33,95.99,94.63
Dominican Republic,"8,603.80","7,268.20","8,282.10","8,050.60","7,609.40","7,280.90","6,921.50","6,608.80","6,238.10",272.69,313.07,414.78,361.04,332.13,360.83,459,380.16,529.69,65.23,46.23,55.8,59.26,44.55,48.95,45.27,66.99,64.67,76.9,75.8,74.82,67.57,63.87,54.22,49.58,45.9
Ecuador,"5,934.90","5,627.80","6,222.50","6,295.90","6,213.50","6,060.10","6,124.50","6,377.10","6,056.30",482.22,462.71,571.82,520.21,477.5,450.61,501.07,403.75,352.6,39.42,42.6,41.54,38.8,35.87,34.02,38.3,43.3,52.49,64.6,61.6,57.5,55.8,54.06,48.94,45.59,40.28
Egypt,"3,876.40","3,569.20","3,019.10","2,537.10","2,444.30","3,519.90","3,562.90","3,379.60","3,262.70",279.48,244.53,225.09,175.52,155.52,299.14,339.88,289.09,254.07,18.81,17.12,17.87,16.37,18.62,45.98,55.84,50.15,51.86,71.91,57.28,46.92,44.95,41.25,37.82,33.89,29.4
Estonia,"27,280.70","23,054.40","23,397.90","23,063.60","20,437.80","18,295.30","17,402.00","20,261.10","19,056.00",1563.37,1312.09,1303.05,1213.77,1073.1,978.37,891.94,1022.14,792.68,29.71,25.93,26.56,25.59,22.57,17.45,16.92,21.68,24.24,89.06,90.23,89.36,88.1,87.24,88.41,84.24,80
Finland,"53,982.60","49,160.80","48,628.60","49,988.90","46,412.10","43,814.00","42,801.90","50,327.20","49,892.20",3100.95,2840.53,2681.88,2662.31,2600.69,2589.04,2434.8,2885.89,2885.38,25.65,24.97,26.66,28.36,22.41,21.25,20.06,24.06,28.43,92.17,89.61,88.89,87.47,87.7,86.42,86.53,91.51
France,"43,518.50","39,037.10","40,578.60","41,592.80","38,781.00","37,062.50","36,652.90","43,068.50","42,605.00",2918.92,2474.46,2307.52,2281.51,2286.78,2219.38,2200.15,2620.53,2783.05,36.49,30.83,31.26,32.96,29.55,30.15,30.35,36.5,36.91,84.8,83.34,82.04,80.5,79.27,78.01,83.75,81.92
Georgia,"5,042.40","4,255.70","4,696.20","4,722.00","4,357.00","4,062.20","4,014.20","4,739.20","4,623.70",361.19,340.27,286.17,320.94,317.98,309.95,235.01,344.59,303.64,14.12,15.14,16.44,16.86,14.63,12.59,10.46,13.42,18,72.53,68.85,62.72,59.71,58.46,47.57,44,43.3
Germany,"50,801.80","46,252.70","46,794.90","47,973.60","44,652.60","42,136.10","41,103.30","48,023.90","46,298.90",3462.34,2810.83,2636.52,2604.86,2545.54,2501.38,2442.51,2776.85,2670.98,41.78,36.51,35.43,35.48,30.68,27.55,25.65,31.29,29.03,89.81,88.13,87.04,84.39,84.17,87.59,86.19,84.17
Greece,"20,276.50","17,647.20","19,133.80","19,757.00","18,582.10","17,924.00","18,083.90","21,616.70","21,787.80",939.9,844.34,847.66,817.09,755.11,791.25,821.38,1027.21,857.56,40.47,36.33,34.92,36.14,26.54,23.48,21.03,25.73,24.77,78.12,75.67,72.24,69.89,69.09,66.83,63.21,59.87
Hong Kong,"49,660.60","46,101.00","48,356.10","48,537.60","46,160.40","43,733.90","42,431.90","40,315.30","38,403.80",3193.76,2877.69,2621.78,2430.53,2711.54,2655.67,2918.23,2588.88,2481.79,26,24.53,24.41,28.08,25.24,28.07,25.47,25.05,25.48,92.41,91.74,90.51,89.42,87.48,84.95,79.87,74.2
Hungary,"18,772.70","16,076.00","16,735.70","16,427.40","14,623.70","13,107.40","12,720.70","14,298.80","13,720.00",1003.85,864.7,832.79,773.62,694.37,616.86,539.61,714.42,664.03,15.63,15.2,14.69,15.37,15.13,14.77,14.14,18.26,15.38,84.77,80.37,76.07,76.75,79.26,72.83,75.65,72.64
Iceland,"68,383.80","59,264.00","68,941.50","74,469.80","72,010.10","61,987.90","52,951.70","54,576.70","49,805.00",3509.39,3109.21,3293.57,3581.76,3481.03,2410.41,2161.21,2341.64,2227.14,78.41,71.4,68.26,68.48,62.94,54.6,58.56,63.7,67.94,99,99,99.01,98.26,98.24,98.2,98.16,96.55
India,"2,277.40","1,933.10","2,072.20","1,998.30","1,980.70","1,732.60","1,605.60","1,573.90","1,449.60",579.72,492.2,521.83,535.11,617.76,557.67,558.23,531.13,511.58,10.69,11.26,12.08,14.02,17.11,18.37,19.9,21.19,21.32,43,29.4,20.08,18.2,16.5,14.9,13.5,12.3
Indonesia,"4,291.80","3,870.60","4,135.20","3,893.90","3,837.60","3,562.80","3,331.70","3,491.60","3,623.90",363.46,361.01,348.28,299.41,432.66,336.31,347.7,318.88,376.39,33.39,29.64,31.34,31.09,29.08,26.62,26.36,32.61,37.01,53.73,47.69,39.9,32.34,25.45,22.06,17.14,14.94
Iraq,"5,048.40","4,583.70","5,943.50","5,915.90","4,985.50","4,550.70","4,688.30","6,637.70","7,076.60",592.78,550.79,612.44,549.2,570.7,723.63,724.08,679.91,524.15,39.73,37.55,48.87,40.12,41.03,42.94,56.07,54.38,52.89,70.63,60,43.3,41.94,37.67,16.8,13.21,9.2
Ireland,"99,152.10","85,422.50","80,886.60","79,107.60","69,774.00","62,861.60","62,012.50","55,599.90","51,533.00",3396.11,2833.15,2754.64,2647.91,2469.95,2647.37,2660.83,2807.62,2832.24,58.25,57.34,58.98,58.96,52.81,47.73,42.45,45.7,46.62,92,87,87,84.11,83.5,83.49,83.49,78.25
Israel,"51,430.10","44,177.60","43,951.20","42,063.50","40,774.10","37,330.30","35,808.40","37,847.60","36,499.50",2948.82,2478.73,2372.65,2233.85,2629.44,2017.15,1943.21,2363.3,1835.23,30.37,26.8,26.28,25.4,24.77,21.45,21.26,22.5,24.61,90.13,86.79,83.73,81.58,79.65,77.35,75.02,70.25
Italy,"35,551.30","31,835.00","33,673.50","34,622.20","32,406.70","30,960.70","30,242.40","35,565.70","35,560.10",1814.55,1681.22,1605.13,1625.74,1596.66,1599.84,1714.22,1997.4,2060.21,35.13,32.02,32.67,32.32,29.8,30.42,29.17,35.1,32.85,70.48,76.1,74.39,63.08,61.32,58.14,55.64,58.46
Japan,"39,285.20","39,918.20","40,458.00","39,727.10","38,834.10","39,375.50","34,960.60","38,475.40","40,898.60",3113.45,2812.27,2727.54,2706,2709.76,2622.86,2324.27,2513.66,2968.04,42.07,43.05,44.97,42.81,37.75,37.92,34.1,37.61,37.77,90.22,92.73,91.28,91.73,93.18,91.06,89.11,88.22
Jordan,"4,405.80","4,282.80","4,405.50","4,308.20","4,231.50","4,175.40","4,164.10","4,131.40","4,044.40",545.08,632.93,624.02,648.94,628.99,626.59,614.06,628.11,661.64,39.8,44.58,43.21,45.37,49.5,41.72,41.44,42.58,42.33,79.94,72.69,66.1,64.5,56.15,54.22,46.2,41.4
